"AwoDev_AwoRewards::This field lets you set if the minimum value must be reached for every order or across multiple orders. For example, if you set the minimum value to 100 and the minimum order type to Per Order, then only if a customer spends 100 in a single order will the rule be triggered. If the minimum order type is set to 'All Orders' then the order totals accumulate and when a customer spends minimum of 100 across all their orders the rule will be triggered and reward earned.","This field lets you set if the minimum value must be reached for every order or across multiple orders. For example, if you set the minimum value to 100 and the minimum order type to Per Order, then only if a customer spends 100 in a single order will the rule be triggered. If the minimum order type is set to 'All Orders' then the order totals accumulate and when a customer spends minimum of 100 across all their orders the rule will be triggered and reward earned.",,
"AwoDev_AwoRewards::This field lets you set which orders the rule will apply to. For example if the rule should apply to every 10th order up to first 100 orders, then set it to 10,20,30,40,50,60,70,80,90,100. Please note this is orders per customer and works only with order total type of ""Per Order"".","This field lets you set which orders the rule will apply to. For example if the rule should apply to every 10th order up to first 100 orders, then set it to 10,20,30,40,50,60,70,80,90,100. Please note this is orders per customer and works only with order total type of ""Per Order"".",,
AwoDev_AwoRewards::This is a required field.,This is a required field.,,
AwoDev_AwoRewards::This item no longer exists,This item no longer exists,,
AwoDev_AwoRewards::Timestamp,Date,,
AwoDev_AwoRewards::Title,Title,,
AwoDev_AwoRewards::To,A,,
AwoDev_AwoRewards::Total of %d record(s) were deleted,Total of %d record(s) were deleted,,
AwoDev_AwoRewards::Total Points,Total Points,,
AwoDev_AwoRewards::Tweet About Us,Tweet About Us,,
AwoDev_AwoRewards::Twitter,Twitter,,
AwoDev_AwoRewards::Unclaimed Points,Points non demandés,,
AwoDev_AwoRewards::Unpublished,Unpublished,,
AwoDev_AwoRewards::Unregistered,Unregistered,,
AwoDev_AwoRewards::Update Expired License,Update Expired License,,
AwoDev_AwoRewards::Update Local Key,Update Local Key,,
AwoDev_AwoRewards::Upload Email addresses with text file, one per line,,
"AwoDev_AwoRewards::Upload Email addresses with text file, one per line","Envoi de plusieurs adresses email, un par ligne",,
AwoDev_AwoRewards::Uploaded Email,Email(s) uploadé(s),,
AwoDev_AwoRewards::Uploaded Emails,Emails téléchargés,,
AwoDev_AwoRewards::Username,Username,,
AwoDev_AwoRewards::View Credits,View Credits,,
AwoDev_AwoRewards::View Type,View Type,,
AwoDev_AwoRewards::Vous pourrez parrainez dès votre première commande!,,,
AwoDev_AwoRewards::Warning to Users,Warning to Users,,
AwoDev_AwoRewards::Website,Website,,
AwoDev_AwoRewards::Website does not match local key,Website does not match local key,,
AwoDev_AwoRewards::Wide,Wide,,
AwoDev_AwoRewards::will appear in front end,will appear in front end,,
AwoDev_AwoRewards::Yahoo,Yahoo,,
AwoDev_AwoRewards::Yahoo Mail,Yahoo Mail,,
AwoDev_AwoRewards::You have no credits.,Vous n'avez pas de code promotion Parrain.,,
AwoDev_AwoRewards::You have no payments.,Vous n'avez pas utilisé de coupons,,
AwoDev_AwoRewards::You have no referrals,Vous n'avez envoyé aucune demande de parrainage,,
AwoDev_AwoRewards::Your message here...,Votre message ici ...,,
Description,En bref,,
Discount Codes,Entrez votre code de réduction,,
Mage_Catalog::Currently Shopping by:,,,
"Mage_Customer::""If you are a registered VAT customer"," please click <a href=""%s"">here</a> to enter you shipping address for proper VAT calculation""",,
Mage_Customer::Account Information,Mes infos,,
Mage_Customer::Address Book,Mes adresses,,
Mage_Customer::Address Books,Mes adresses,,
Mage_Customer::Dashboard,Vue générale,,
Mage_Customer::Edit Account Info,'Modifier vos infos',,
Mage_Customer::My Dashboard,Mon Compte,,
Mage_Customer::Newsletters,Newsletter,,
Mage_Sales::Complete,Cloturée,,
My Account,Mon Compte,,
Related Products,Suggestion du commerçant,,
Amasty_Orderattr::Additional Information:,Informations complémentaires :,,
Amasty_Orderattr::Additional Info,Informations complémentaires,,
Amasty_Deliverydate::Delivery Date,Jour de livraison,,
Amasty_Deliverydate::Delivery Time Interval,Heure de livraison,,
Items in your order,Produits commandés,,
"Mage_Customer ::If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you shipping address for proper VAT calculation","Si vous êtes un client Entreprise, merci de compléter votre adresse d'envoi en cliquant <a href=""%s"">ici</a>",,
"Mage_Customer ::'If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you shipping address for proper VAT calculation'","Si vous êtes un client Entreprise, merci de compléter votre adresse d'envoi en cliquant <a href=""%s"">ici</a>",,
"""If there is an account associated with %s you will receive an email with a link to reset your password.""","""Si l'adresse %s existe dans notre base de données, vous recevrez un lien sur celle-ci pour réinitialiser votre mot de passe.""",,
MW_Ddate::Shipping Address,Adresse de livraison,,
MW_Ddate::Shipping Method,Votre livraison,,
MW_Ddate::Billing Address,Votre adresse,,
MW_Ddate::Payment Method,Votre Paiement,,
MW_Ddate::Checkout,Finaliser votre commande,,
MW_Ddate::Delivery Date,Date et horaire de livraison,,
MW_Ddate::Comment,Commentaire,,
MW_Ddate::Additional Info,Informations complémentaires,,
Mage_Sales::Invoiced,Facturé,,
MW_Ddate::* Required Fields,* Champs obligatoires,,
MW_Ddate::Back,Retour,,
MW_Ddate::Edit,Modifier,,
MW_Ddate::Loading next step...,Plus qu'une étape :-),,
MW_Ddate::Billing Info,Votre adresse,,
Mage_Checkout::Billing Info,Adresse de facturation,,
Mage_Contacts::Contact Us,Contactez nous,,
Mage_Page::Quick Links,Liens,,
Mage_Checkout::Checkout as a Guest or Register,Payer en tant qu'invité ou s'enregistrer,,
Mage_Checkout::Login,S'identifier,,
Mage_Checkout::Sign in to speed up your checkout process,Réglez plus vite vos achats et profitez de nos offres exclusives.,,
Mage_Checkout::Register with us for future convenience:,Enregistrez vous pour régler plus vite vos achats.,,
Mage_Checkout::Returning Customers,Payer en tant que client enregistré,,
Mage_Checkout::Forgot your password?,Mot de passe oublié ?,,
Mage_Persistent::What's this?,Qu'est ce que c'est ?,,
Mage_Checkout::Checkout Method,S'identifier pour régler la commande,,
Mage_Checkout::Billing Information,Votre adresse,,
Mage_Checkout::Shipping Information,Adresse de livraison,,
Mage_Checkout::Shipping Method,Votre livraison,,
Mage_Checkout::Payment Information,Votre paiement,,
Mage_Checkout::Order Review,Confirmer votre commande,,
Mage_Sales::Shipping & Handling,,,
Mage_Core::Place Order,Passer commande,,
Mage_Checkout::Forgot an Item?,Un produit oublié ?,,
Mage_Checkout::Register and Checkout,S'enregistrer et régler ses achats,,
Mage_Checkout::Ship to this address,Livraison à cette adresse,,
Mage_Checkout::Ship to different address,Livraison à une autre adresse,,
Mage_Catalog::Shop By,Filtrer par,,
Amasty_Orderattr::This is a required field.,Ceci est un champ obligatoire,,
Amasty_Deliverydate::Delivery Time Interval,Heure de livraison,,
Amasty_Deliverydate::Delivery Date,Jour de livraison,,
Amasty_Deliverydate::Delivery Comments,Informations complémentaires,,
Amasty_Orderattr::Shipping Address,Adresse de livraison,,
Amasty_Orderattr::Shipping Method,Votre livraison,,
Amasty_Orderattr::Payment Method,Règlement,,
Mage_Sales::Subtotal,Total des produits,,
Mage_Tax::Tax,Total TVA,,
Mage_Sales::Grand Total,Total TTC,,
Mage_Checkout::Proceed to Checkout,Régler vos achats,,
Mage_Catalog::Add to Cart,Ajouter,,
Mage_Core::Search entire store here...,Rechercher un produit,,
Mage_Customer::Login or Create an Account,Connectez-vous à votre compte,,
Mage_Customer::Already registered?,Client enregistré,,
Mage_Customer::If you have an account with us, please log in.,Identifiez vous pour avoir accès à votre compte,
Mage_Customer::Login,S'identifier,,
Mage_Customer::Account Dashboard,Tableau de bord,,
Mage_Customer::My Dashboard,Tableau de bord,,
Mage_Sales::Complete,Terminée,,
Mage_Customer::You are currently subscribed to 'General Subscription'.,Vous êtes actuellement abonné à notre newsletter.,,
Ebizmarts_MageMonkey::Click to subscribe to this list.,Cliquez pour recevoir notre newsletter.,,
Mage_Sales::Shipping Address,Adresse de livraison,,
Mage_Sales::Shipping Method,Votre livraison,,
Amasty_Orderattr::Additional Info,Informations complémentaires,,
Amasty_Orderattach::Order Attachments,Tickets commerçants:,,
